PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
246. Justin Abdelkader,Justin.Abdelkader,32,"LW, RW",Left,49,0,3,3,0.06,-14,40,0,11:32,4250000,"$4,750,000 "
247. Ian Cole,Ian.Cole,30,LD/RD,Left,65,4,22,26,0.4,21,92,0.04,17:41,4250000,"$4,750,000 "
248. John Klingberg,John.Klingberg,26,RD,Right,58,6,26,32,0.55,-10,120,0.05,22:09,4250000,"$5,000,000 "
249. Viktor Arvidsson,Viktor.Arvidsson,26,"RW, LW",Right,57,15,13,28,0.49,-4,127,0.12,16:12,4250000,"$4,250,000 "
250. David Savard,David.Savard,28,RD,Right,68,0,11,11,0.16,-3,97,0,20:41,4250000,"$5,000,000 "
251. Craig Smith,Craig.Smith,29,"RW, C",Right,69,18,13,31,0.45,18,184,0.1,13:25,4250000,"$4,750,000 "
253. Jonathan Ericsson,Jonathan.Ericsson,35,LD,Left,18,0,0,0,0,-12,16,0,14:14,4250000,"$4,250,000 "
254. Oscar Klefbom,Oscar.Klefbom,25,LD,Left,62,5,29,34,0.55,-17,159,0.03,25:24:00,4167000,"$4,500,000 "
255. Jonas Brodin,Jonas.Brodin,25,LD,Left,69,2,26,28,0.41,15,103,0.02,21:33,4166667,"$4,750,000 "
256. Damon Severson,Damon.Severson,24,RD,Right,69,8,23,31,0.45,-20,114,0.07,22:57,4166666,"$4,675,000 "
257. Adam Larsson,Adam.Larsson,26,RD,Right,49,1,5,6,0.12,0,61,0.02,19:49,4166666,"$5,050,000 "
258. Mathieu Perreault,Mathieu.Perreault,31,"LW, RW, C",Left,49,7,8,15,0.31,-9,71,0.1,13:06,4125000,"$4,000,000 "
259. Brian Dumoulin,Brian.Dumoulin,27,LD,Left,28,1,7,8,0.29,17,35,0.03,21:03,4100000,"$4,100,000 "
260. Nick Bjugstad,Nick.Bjugstad,26,"C, RW",Right,13,1,1,2,0.15,3,18,0.06,12:14,4100000,"$5,000,000 "
261. Josh Manson,Josh.Manson,27,RD,Right,50,1,8,9,0.18,-10,64,0.02,20:37,4100000,"$4,250,000 "
