PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
605. Jack Rathbone,Jack.Rathbone,20,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
606. Oliwer Kaski,Oliwer.Kaski,23,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
607. Luke Kunin,Luke.Kunin,21,"RW, C",Right,63,15,16,31,0.49,-10,128,0.12,15:27,925000,"$925,000 "
608. Brandon Hickey,Brandon.Hickey,23,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
609. Jesperi Kotkaniemi,Jesperi.Kotkaniemi,18,"C, LW",Left,36,6,2,8,0.22,-11,55,0.11,12:59,925000,"$925,000 "
610. Tage Thompson,Tage.Thompson,21,"C, RW",Right,1,0,0,0,0,0,0,0,6:59,925000,"$925,000 "
611. Andrei Svechnikov,Andrei.Svechnikov,19,"LW, RW",Left,68,24,37,61,0.9,9,183,0.13,16:44,925000,"$925,000 "
612. Henrik Borgström,Henrik.Borgström,21,C,Left,4,0,0,0,0,-2,3,0,12:23,925000,"$925,000 "
613. Dominik Kahun,Dominik.Kahun,23,"LW, RW, C",Left,56,12,19,31,0.55,8,87,0.14,13:17,925000,"$925,000 "
615. Cal Foote,Cal.Foote,20,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
616. Nico Hischier,Nico.Hischier,20,C,Left,58,14,22,36,0.62,-16,123,0.11,18:03,925000,"$925,000 "
617. Kiefer Sherwood,Kiefer.Sherwood,24,"RW, C",Right,10,0,1,1,0.1,-1,17,0,13:19,925000,"$925,000 "
618. Jordan Gross,Jordan.Gross,24,RD,Right,2,0,1,1,0.5,2,3,0,16:10,925000,"$925,000 "
619. Nolan Patrick,Nolan.Patrick,20,"C, RW",Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
620. Conor Timmins,Conor.Timmins,20,RD,Right,2,0,0,0,0,2,1,0,10:24,925000,"$925,000 "
621. John Marino,John.Marino,22,RD,Right,56,6,20,26,0.46,17,61,0.1,20:14,925000,"$925,000 "
622. Philip Tomasino,Philip.Tomasino,17,"RW, C",Right,0,0,0,0,0,0,0,0,,925000,$0 
623. Shane Bowers,Shane.Bowers,19,C,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
624. Chase Priskie,Chase.Priskie,23,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
625. Victor Söderström,Victor.Söderström,18,RD,Right,0,0,0,0,0,0,0,0,,925000,$0 
626. Michael Anderson,Michael.Anderson,20,LD,Left,6,1,0,1,0.17,4,9,0.11,18:08,925000,"$925,000 "
627. Peyton Krebs,Peyton.Krebs,18,"C, LW",Left,0,0,0,0,0,0,0,0,,925000,$0 
628. Slater Koekkoek,Slater.Koekkoek,25,LD/RD,Left,42,1,9,10,0.24,3,47,0.02,16:45,925000,"$925,000 "
629. Danil Yurtaykin,Danil.Yurtaykin,22,LW,Right,4,0,0,0,0,-1,2,0,13:00,925000,"$925,000 "
630. Samuel Poulin,Samuel.Poulin,18,"LW, RW",Left,0,0,0,0,0,0,0,0,,925000,$0 
631. Tye Felhaber,Tye.Felhaber,20,C,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
632. Joe Snively,Joe.Snively,23,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
633. Mario Ferraro,Mario.Ferraro,20,LD,Left,61,2,9,11,0.18,-15,63,0.03,15:53,925000,"$925,000 "
634. Simon Holmström,Simon.Holmström,18,RW,Left,0,0,0,0,0,0,0,0,,925000,$0 
635. Yegor Rykov,Yegor.Rykov,22,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
636. Rhett Gardner,Rhett.Gardner,23,"C, LW",Left,8,0,0,0,0,0,8,0,10:08,925000,"$925,000 "
637. Yegor Korshkov,Yegor.Korshkov,22,RW,Left,1,1,0,1,1,1,1,1,10:08,925000,"$925,000 "
639. Serron Noel,Serron.Noel,18,RW,Right,0,0,0,0,0,0,0,0,,925000,$0 
642. Ilya Mikheyev,Ilya.Mikheyev,24,"LW, RW",Left,39,8,15,23,0.59,7,98,0.08,15:34,925000,"$925,000 "
643. Isac Lundeström,Isac.Lundeström,19,"C, LW",Left,15,0,4,4,0.27,-2,10,0,13:54,925000,"$925,000 "
644. Lassi Thomson,Lassi.Thomson,18,RD,Right,0,0,0,0,0,0,0,0,,925000,$0 
645. Henri Jokiharju,Henri.Jokiharju,20,RD,Right,69,4,11,15,0.22,-6,78,0.05,17:13,925000,"$925,000 "
646. Lucas Johansen,Lucas.Johansen,21,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
648. David Sklenička,David.Sklenička,22,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
649. Oskar Lindblom,Oskar.Lindblom,22,LW,Left,30,11,7,18,0.6,4,72,0.15,17:36,925000,"$925,000 "
650. Erik Foley,Erik.Foley,22,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
651. Cooper Marody,Cooper.Marody,22,"C, RW",Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
652. Pierre Engvall,Pierre.Engvall,23,"LW, C",Left,48,8,7,15,0.31,4,72,0.11,11:56,925000,"$925,000 "
653. Andrew Oglevie,Andrew.Oglevie,24,C,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
654. Ryan Lindgren,Ryan.Lindgren,21,LD,Left,60,1,13,14,0.23,16,47,0.02,16:34,925000,"$925,000 "
655. Emil Bemström,Emil.Bemström,20,"C, RW",Right,56,10,10,20,0.36,-10,97,0.1,12:16,925000,"$925,000 "
656. Emil Djuse,Emil.Djuse,25,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
658. Kaapo Kakko,Kaapo.Kakko,18,RW,Left,66,10,13,23,0.35,-26,109,0.09,14:16,925000,"$925,000 "
659. Brady Keeper,Brady.Keeper,23,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
660. Ryan Suzuki,Ryan.Suzuki,18,C,Left,0,0,0,0,0,0,0,0,,925000,$0 
661. Jeremy Davies,Jeremy.Davies,22,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
662. Gaëtan Haas,Gaëtan.Haas,27,C,Right,58,5,5,10,0.17,-1,54,0.09,9:41,925000,"$925,000 "
663. Kirill Kaprizov,Kirill.Kaprizov,22,"LW, RW",Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
664. Lukas Craggs,Lukas.Craggs,23,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
665. Vitali Kravtsov,Vitali.Kravtsov,19,RW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
666. Jakob Pelletier,Jakob.Pelletier,18,LW,Left,0,0,0,0,0,0,0,0,,925000,$0 
667. Joakim Nygård,Joakim.Nygård,26,LW,Left,33,3,6,9,0.27,0,39,0.08,10:41,925000,"$925,000 "
669. Vladislav Gavrikov,Vladislav.Gavrikov,23,LD,Left,69,5,13,18,0.26,1,81,0.06,18:58,925000,"$925,000 "
670. Joshua Norris,Joshua.Norris,20,C,Left,3,0,0,0,0,2,9,0,17:55,925000,"$925,000 "
671. Joel Farabee,Joel.Farabee,19,"LW, RW",Left,52,8,13,21,0.4,6,81,0.1,14:06,925000,"$925,000 "
672. Otto Leskinen,Otto.Leskinen,22,LD/RD,Left,5,0,0,0,0,0,2,0,10:17,925000,"$925,000 "
673. Max Veronneau,Max.Veronneau,23,RW,Right,4,0,0,0,0,-2,3,0,8:25,925000,"$925,000 "
674. Barclay Goodrow,Barclay.Goodrow,26,"LW, C, RW",Left,70,8,18,26,0.37,-8,102,0.08,15:55,925000,"$1,000,000 "
675. Josh Wilkins,Josh.Wilkins,22,C,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
676. Oliver Wahlstrom,Oliver.Wahlstrom,19,"RW, C",Right,9,0,0,0,0,-2,9,0,10:17,925000,$0 
677. Alexander Yelesin,Alexander.Yelesin,23,RD,Right,4,0,0,0,0,0,2,0,12:29,925000,"$925,000 "
678. Taro Hirose,Taro.Hirose,23,LW,Left,26,2,5,7,0.27,-12,21,0.1,12:33,925000,"$925,000 "
679. Brendan Lemieux,Brendan.Lemieux,23,"LW, RW",Left,59,6,12,18,0.31,-14,86,0.07,12:52,925000,"$925,000 "
680. Adam Gaudette,Adam.Gaudette,22,"C, RW",Right,59,12,21,33,0.56,-7,75,0.16,12:23,916667,"$925,000 "
681. Quinn Hughes,Quinn.Hughes,19,LD,Left,68,8,45,53,0.78,-10,126,0.06,21:53,916667,"$925,000 "
682. Andrew Peeke,Andrew.Peeke,21,RD,Right,22,1,2,3,0.14,1,23,0.04,13:51,916667,"$925,000 "
683. Jordan Greenway,Jordan.Greenway,22,"LW, RW",Left,67,8,20,28,0.42,2,93,0.09,14:09,916666,"$925,000 "
684. Jacob De La Rose,Jacob.Rose,24,"C, LW",Left,50,2,7,9,0.18,2,46,0.04,10:43,900000,"$950,000 "
685. Nikolay Goldobin,Nikolay.Goldobin,23,LW,Left,1,0,0,0,0,0,0,0,8:37,900000,"$900,000 "
686. Robby Fabbri,Robby.Fabbri,23,"LW, C",Left,61,15,17,32,0.52,-33,111,0.14,16:08,900000,"$900,000 "
687. Riley Sheahan,Riley.Sheahan,27,"LW, C",Left,66,8,7,15,0.23,-13,70,0.11,12:47,900000,"$900,000 "
688. Dylan DeMelo,Dylan.DeMelo,26,RD,Right,59,0,10,10,0.17,4,74,0,20:08,900000,"$900,000 "
689. Christian Wolanin,Christian.Wolanin,24,LD,Left,3,0,0,0,0,1,4,0,17:41,900000,"$800,000 "
690. Patrick Maroon,Patrick.Maroon,31,"LW, RW",Left,64,9,14,23,0.36,4,80,0.11,12:24,900000,"$900,000 "
691. Alexandre Texier,Alexandre.Texier,19,"LW, C, RW",Left,36,6,7,13,0.36,3,49,0.12,12:44,897500,"$925,000 "
692. Eetu Luostarinen,Eetu.Luostarinen,20,C,Left,8,0,1,1,0.13,-2,9,0,9:58,897500,"$842,500 "
693. Alec Regula,Alec.Regula,18,RD,Right,0,0,0,0,0,0,0,0,,897500,$0 
694. Filip Zadina,Filip.Zadina,19,"RW, LW",Left,28,8,7,15,0.54,-13,60,0.13,15:10,894167,"$925,000 "
695. Adam Boqvist,Adam.Boqvist,18,RD,Right,41,4,9,13,0.32,-3,50,0.08,16:13,894167,"$925,000 "
696. Ryan Merkley,Ryan.Merkley,18,RD,Right,0,0,0,0,0,0,0,0,,894167,$0 
697. Alexander Romanov,Alexander.Romanov,19,LD/RD,Left,0,0,0,0,0,0,0,0,,894167,"$832,500 "
698. Alexander Alexeyev,Alexander.Alexeyev,19,LD,Left,0,0,0,0,0,0,0,0,,894167,$0 
699. Barrett Hayton,Barrett.Hayton,19,"C, LW",Left,20,1,3,4,0.2,2,27,0.04,11:08,894167,"$925,000 "
700. Dominik Bokk,Dominik.Bokk,19,"LW, RW",Right,0,0,0,0,0,0,0,0,,894167,$0 
701. Rasmus Sandin,Rasmus.Sandin,19,LD/RD,Left,28,1,7,8,0.29,-7,22,0.05,14:18,894167,"$925,000 "
702. Ty Smith,Ty.Smith,19,LD/RD,Left,0,0,0,0,0,0,0,0,,894167,$0 
703. Evan Bouchard,Evan.Bouchard,19,RD,Right,0,0,0,0,0,0,0,0,,894167,$0 
704. Ty Dellandrea,Ty.Dellandrea,18,"C, RW",Right,0,0,0,0,0,0,0,0,,894167,$0 
705. Urho Vaakanainen,Urho.Vaakanainen,20,LD/RD,Left,5,0,0,0,0,2,2,0,16:51,894167,"$925,000 "
706. Martin Kaut,Martin.Kaut,19,RW,Right,9,2,1,3,0.33,-1,13,0.15,10:08,894167,$0 
707. Liam Foudy,Liam.Foudy,19,"C, LW, RW",Left,2,0,1,1,0.5,1,3,0,14:13,894167,"$925,000 "
708. Noah Dobson,Noah.Dobson,19,RD,Right,34,1,6,7,0.21,-1,37,0.03,13:16,894167,"$925,000 "
709. Nicolas Beaudin,Nicolas.Beaudin,19,LD,Left,1,0,0,0,0,1,2,0,17:01,894167,$0 
710. Rasmus Kupari,Rasmus.Kupari,19,"C, LW, RW",Right,0,0,0,0,0,0,0,0,,894167,$0 
711. Gabriel Vilardi,Gabriel.Vilardi,19,C,Right,10,3,4,7,0.7,0,19,0.16,12:51,894167,"$925,000 "
712. Kristian Vesalainen,Kristian.Vesalainen,20,"LW, RW",Left,0,0,0,0,0,0,0,0,,894167,"$925,000 "
713. Kieffer Bellows,Kieffer.Bellows,21,"LW, RW",Left,8,2,1,3,0.38,3,11,0.18,10:39,894166,"$925,000 "
714. German Rubtsov,German.Rubtsov,21,C,Left,4,0,0,0,0,-1,1,0,6:48,894166,"$925,000 "
715. Kailer Yamamoto,Kailer.Yamamoto,20,"RW, C",Right,27,11,15,26,0.96,17,44,0.25,17:23,894166,"$925,000 "
716. Lias Andersson,Lias.Andersson,20,"C, LW",Left,17,0,1,1,0.06,-8,13,0,9:32,894166,"$925,000 "
717. Robert Thomas,Robert.Thomas,19,"C, RW",Right,66,10,32,42,0.64,9,87,0.11,14:33,894166,"$925,000 "
718. Gabriel Carlsson,Gabriel.Carlsson,22,LD,Left,6,0,0,0,0,-1,3,0,10:52,894166,"$832,500 "
719. Jacob Larsson,Jacob.Larsson,22,LD,Left,60,2,9,11,0.18,-9,58,0.03,16:08,894166,"$832,500 "
720. Jack Roslovic,Jack.Roslovic,22,"C, RW",Right,71,12,17,29,0.41,4,117,0.1,14:53,894166,"$832,500 "
721. Dennis Cholowski,Dennis.Cholowski,21,LD,Left,36,2,6,8,0.22,-26,51,0.04,19:13,894166,"$925,000 "
722. Mikhail Sergachev,Mikhail.Sergachev,21,LD/RD,Left,70,10,24,34,0.49,15,118,0.08,20:22,894166,"$832,500 "
723. Michael Rasmussen,Michael.Rasmussen,20,"C, LW",Left,0,0,0,0,0,0,0,0,,894166,"$925,000 "
724. Denis Gurianov,Denis.Gurianov,22,"RW, LW",Left,64,20,9,29,0.45,5,132,0.15,12:59,894166,"$832,500 "
725. Pierre-Luc Dubois,Pierre.Dubois,21,C,Left,70,18,31,49,0.7,-2,158,0.11,17:55,894166,"$832,500 "
726. Eeli Tolvanen,Eeli.Tolvanen,20,LW,Left,0,0,0,0,0,0,0,0,,894166,"$925,000 "
727. Miro Heiskanen,Miro.Heiskanen,19,LD/RD,Left,68,8,27,35,0.51,14,163,0.05,23:46,894166,"$925,000 "
728. Filip Chytil,Filip.Chytil,19,"C, LW",Left,60,14,9,23,0.38,-7,114,0.12,14:50,894166,"$925,000 "
729. Juuso Välimäki,Juuso.Välimäki,20,LD,Left,0,0,0,0,0,0,0,0,,894166,"$925,000 "
730. Jett Woo,Jett.Woo,18,RD,Right,0,0,0,0,0,0,0,0,,891667,$0 
731. Kole Lind,Kole.Lind,20,RW,Right,0,0,0,0,0,0,0,0,,891666,"$925,000 "
732. Jacob Bryson,Jacob.Bryson,21,LD/RD,Left,0,0,0,0,0,0,0,0,,889166,"$817,500 "
733. Clayton Keller,Clayton.Keller,20,"RW, LW",Left,70,17,27,44,0.63,-6,184,0.09,16:17,885833,"$832,500 "
734. Tyson Jost,Tyson.Jost,21,"C, LW, RW",Left,67,8,15,23,0.34,11,115,0.07,12:46,885833,"$832,500 "
736. Ryan Collins,Ryan.Collins,23,RD,Right,0,0,0,0,0,0,0,0,,880833,"$925,000 "
737. Reese Johnson,Reese.Johnson,20,"RW, C",Right,0,0,0,0,0,0,0,0,,880833,"$792,500 "
738. Cale Makar,Cale.Makar,20,RD,Right,57,12,38,50,0.88,12,121,0.1,21:00,880833,"$925,000 "
739. Brandon Hagel,Brandon.Hagel,20,"LW, RW",Left,1,0,0,0,0,0,4,0,11:48,880833,"$925,000 "
740. Joshua Ho-Sang,Joshua.Sang,23,"RW, C",Right,0,0,0,0,0,0,0,0,,874125,"$874,125 "
741. Nico Sturm,Nico.Sturm,24,C,Left,6,0,2,2,0.33,2,2,0,11:53,874125,"$874,125 "
742. Eric Robinson,Eric.Robinson,24,LW,Left,50,7,5,12,0.24,10,69,0.1,10:57,874125,"$874,125 "
743. Ryan MacInnis,Ryan.MacInnis,23,C,Left,10,0,1,1,0.1,1,13,0,9:21,874125,"$874,125 "
744. Brendan Perlini,Brendan.Perlini,23,"RW, LW",Left,40,1,3,4,0.1,-18,48,0.02,10:42,874125,"$874,125 "
745. Sheldon Rempal,Sheldon.Rempal,23,"LW, RW",Left,0,0,0,0,0,0,0,0,,874125,"$874,125 "
746. Gustav Forsling,Gustav.Forsling,23,LD,Left,0,0,0,0,0,0,0,0,,874125,"$874,125 "
748. Marcus Pettersson,Marcus.Pettersson,23,LD,Left,69,2,20,22,0.32,9,79,0.03,19:23,874125,"$874,125 "
749. Jayce Hawryluk,Jayce.Hawryluk,23,"RW, LW",Right,26,3,7,10,0.38,1,26,0.12,11:05,874125,"$874,125 "
750. Sonny Milano,Sonny.Milano,23,"LW, RW",Left,55,7,16,23,0.42,-7,75,0.09,13:05,874125,"$874,125 "
751. Sonny Milano,Sonny.Milano,23,"LW, RW",Left,55,7,16,23,0.42,-7,75,0.09,13:05,874125,"$874,125 "
752. Ryan Mantha,Ryan.Mantha,23,RD,Right,0,0,0,0,0,0,0,0,,870000,"$925,000 "
753. Alexander Volkov,Alexander.Volkov,21,"LW, RW",Left,9,0,1,1,0.11,-6,7,0,10:15,864167,"$925,000 "
754. Kevin Stenlund,Kevin.Stenlund,22,"RW, C",Right,32,6,4,10,0.31,2,57,0.11,13:58,864166,"$925,000 "
755. William Borgen,William.Borgen,22,RD,Right,0,0,0,0,0,0,0,0,,864166,"$925,000 "
756. Sam Steel,Sam.Steel,21,"C, LW",Left,65,6,16,22,0.34,-13,85,0.07,15:32,863333,"$832,500 "
757. Olli Juolevi,Olli.Juolevi,21,LD,Left,0,0,0,0,0,0,0,0,,863333,"$832,500 "
758. Brett Howden,Brett.Howden,21,C,Left,70,9,10,19,0.27,-11,64,0.14,13:08,863333,"$832,500 "
759. Max Jones,Max.Jones,21,"LW, RW",Left,59,8,4,12,0.2,-6,102,0.08,14:16,863333,"$832,500 "
760. Julien Gauthier,Julien.Gauthier,21,RW,Right,17,0,3,3,0.18,1,10,0,8:17,863333,"$832,500 "
761. Michael Mcleod,Michael.Mcleod,21,C,Right,12,0,2,2,0.17,4,11,0,10:13,863333,"$832,500 "
762. Morgan Frost,Morgan.Frost,20,C,Left,20,2,5,7,0.35,-3,31,0.06,13:41,863333,"$925,000 "
763. Martin Necas,Martin.Necas,20,"RW, C",Right,64,16,20,36,0.56,-6,88,0.18,14:10,863333,"$925,000 "
764. Nick Suzuki,Nick.Suzuki,19,C,Right,71,13,28,41,0.58,-15,138,0.09,15:59,863333,"$925,000 "
765. Dylan Strome,Dylan.Strome,22,"C, LW",Left,58,12,26,38,0.66,1,97,0.12,15:56,863333,"$832,500 "
766. Travis Dermott,Travis.Dermott,22,LD/RD,Left,56,4,7,11,0.2,14,65,0.06,17:18,863333,"$832,500 "
767. Alexander Nylander,Alexander.Nylander,21,"RW, LW",Right,65,10,16,26,0.4,-2,94,0.11,12:08,863333,"$832,500 "
768. Jake Bean,Jake.Bean,21,LD/RD,Left,0,0,0,0,0,0,0,0,,863333,"$832,500 "
769. Erik Brännström,Erik.Brännström,19,LD/RD,Left,31,0,4,4,0.13,-9,38,0,14:50,863333,"$925,000 "
770. Mathew Barzal,Mathew.Barzal,22,C,Right,68,19,41,60,0.88,5,171,0.11,20:02,863333,"$832,500 "
771. Zach Senyshyn,Zach.Senyshyn,22,RW,Right,4,0,2,2,0.5,1,1,0,8:25,863333,"$832,500 "
772. Logan Stanley,Logan.Stanley,21,LD,Left,0,0,0,0,0,0,0,0,,863333,"$832,500 "
773. Klim Kostin,Klim.Kostin,20,"RW, LW",Left,4,1,0,1,0.25,1,5,0.2,8:32,863333,"$925,000 "
774. Timothy Liljegren,Timothy.Liljegren,20,RD,Right,11,0,1,1,0.09,-5,2,0,10:17,863333,"$925,000 "
775. Owen Tippett,Owen.Tippett,20,RW,Right,0,0,0,0,0,0,0,0,,863333,"$925,000 "
776. Evgeny Svechnikov,Evgeny.Svechnikov,22,"LW, RW",Left,4,0,0,0,0,-1,7,0,8:19,863333,"$832,500 "
777. Noah Juulsen,Noah.Juulsen,22,RD,Right,0,0,0,0,0,0,0,0,,863333,"$832,500 "
778. Jake DeBrusk,Jake.DeBrusk,22,LW,Left,65,19,16,35,0.54,-1,161,0.12,16:03,863333,"$832,500 "
779. Logan Brown,Logan.Brown,21,"C, LW",Left,23,1,7,8,0.35,0,23,0.04,11:45,863333,"$832,500 "
780. Pierre-Olivier Joseph,Pierre.Joseph,20,LD,Left,0,0,0,0,0,0,0,0,,863333,"$925,000 "
781. Cody Glass,Cody.Glass,20,C,Right,39,5,7,12,0.31,-7,51,0.1,13:21,863333,"$925,000 "
782. Nick Merkley,Nick.Merkley,22,"RW, C",Right,4,1,1,2,0.5,0,8,0.13,11:21,863333,"$832,500 "
783. Thomas Chabot,Thomas.Chabot,22,LD,Left,71,6,33,39,0.55,-18,186,0.03,26:00:00,863333,"$832,500 "
784. Jakub Zboril,Jakub.Zboril,22,LD/RD,Left,0,0,0,0,0,0,0,0,,863333,"$832,500 "
785. Nikita Alexandrov,Nikita.Alexandrov,18,C,Left,0,0,0,0,0,0,0,0,,861667,$0 
786. Axel Jonsson-Fjällby,Axel.Fjällby,21,LW,Left,0,0,0,0,0,0,0,0,,860000,"$860,000 "
787. Olle Alsing,Olle.Alsing,23,LD,Left,0,0,0,0,0,0,0,0,,858750,"$792,500 "
788. Chase Pearson,Chase.Pearson,21,C,Left,0,0,0,0,0,0,0,0,,858750,"$792,500 "
789. Casey Fitzgerald,Casey.Fitzgerald,22,RD,Right,0,0,0,0,0,0,0,0,,858750,"$792,500 "
791. Nicolas Meloche,Nicolas.Meloche,21,RD,Right,0,0,0,0,0,0,0,0,,853333,"$925,000 "
792. Lukas Jasek,Lukas.Jasek,21,RW,Right,0,0,0,0,0,0,0,0,,853333,"$842,500 "
793. Chad Krys,Chad.Krys,21,LD,Left,0,0,0,0,0,0,0,0,,853333,"$792,500 "
795. Carl Dahlström,Carl.Dahlström,24,LD,Left,15,0,1,1,0.07,-4,9,0,14:45,850000,"$800,000 "
796. Valeri Nichushkin,Valeri.Nichushkin,24,"LW, RW",Left,65,13,14,27,0.42,26,113,0.12,14:04,850000,"$850,000 "
797. Tom Kühnhackl,Tom.Kühnhackl,27,RW,Left,28,3,3,6,0.21,-4,28,0.11,11:17,850000,"$850,000 "
798. Jani Hakanpää,Jani.Hakanpää,27,RD,Right,5,1,0,1,0.2,1,4,0.25,18:07,850000,"$850,000 "
799. Jimmy Schuldt,Jimmy.Schuldt,24,LD,Left,0,0,0,0,0,0,0,0,,850000,"$850,000 "
800. Samuel Blais,Samuel.Blais,23,RW,Left,40,6,7,13,0.33,-2,56,0.11,12:34,850000,"$850,000 "
801. Juuso Riikola,Juuso.Riikola,25,LD,Left,36,1,6,7,0.19,3,38,0.03,13:52,850000,"$850,000 "
802. Nicholas Robertson,Nicholas.Robertson,17,LW,Left,0,0,0,0,0,0,0,0,,850000,$0 
803. Haydn Fleury,Haydn.Fleury,22,LD/RD,Left,45,4,10,14,0.31,-2,65,0.06,13:39,850000,"$850,000 "
804. Pär Lindholm,Pär.Lindholm,27,"LW, C",Left,40,3,3,6,0.15,6,35,0.09,11:14,850000,"$850,000 "
805. Oscar Fantenberg,Oscar.Fantenberg,27,LD,Left,36,1,5,6,0.17,-10,45,0.02,15:54,850000,"$850,000 "
807. Korbinian Holzer,Korbinian.Holzer,31,RD,Right,49,1,3,4,0.08,-2,39,0.03,16:02,850000,"$850,000 "
808. Kevin Roy,Kevin.Roy,26,"C, LW",Left,0,0,0,0,0,0,0,0,,850000,"$850,000 "
809. Zack MacEwen,Zack.MacEwen,22,"C, RW",Right,17,5,1,6,0.35,6,17,0.29,9:37,847500,"$925,000 "
810. Rasmus Asplund,Rasmus.Asplund,21,"LW, RW",Left,29,1,2,3,0.1,-4,36,0.03,10:50,845000,"$867,500 "
812. Jakob Lilja,Jakob.Lilja,25,LW,Left,37,2,3,5,0.14,5,23,0.09,9:53,842500,"$842,500 "
813. Philipp Kurashev,Philipp.Kurashev,19,"LW, C",Left,0,0,0,0,0,0,0,0,,842500,"$792,500 "
815. Brett Leason,Brett.Leason,20,RW,Right,0,0,0,0,0,0,0,0,,842500,"$792,500 "
816. Jeremy Bracco,Jeremy.Bracco,22,RW,Right,0,0,0,0,0,0,0,0,,842500,"$842,500 "
817. Niko Mikkola,Niko.Mikkola,23,LD,Left,5,0,1,1,0.2,3,10,0,14:21,842500,"$842,500 "
818. Brandon Fortunato,Brandon.Fortunato,23,LD,Left,0,0,0,0,0,0,0,0,,842500,"$842,500 "
820. Jacob Pritchard,Jacob.Pritchard,24,LW,Left,0,0,0,0,0,0,0,0,,842500,"$842,500 "
821. Tony Sund,Tony.Sund,23,LD,Left,0,0,0,0,0,0,0,0,,842500,"$842,500 "
822. Alexander Khovanov,Alexander.Khovanov,19,C,Left,0,0,0,0,0,0,0,0,,842500,$0 
823. Kody Clark,Kody.Clark,19,RW,Right,0,0,0,0,0,0,0,0,,839167,$0 
825. Benoit-Olivier Groulx,Benoit.Groulx,19,C,Left,0,0,0,0,0,0,0,0,,836667,$0 
826. Lean Bergmann,Lean.Bergmann,20,"LW, RW",Left,12,0,1,1,0.08,-6,11,0,8:16,836667,"$792,500 "
828. Ryan McLeod,Ryan.McLeod,19,C,Left,0,0,0,0,0,0,0,0,,834167,"$792,500 "
829. Michael Eyssimont,Michael.Eyssimont,22,C,Left,0,0,0,0,0,0,0,0,,833750,"$925,000 "
830. Anthony Angello,Anthony.Angello,23,"C, RW",Right,8,1,0,1,0.13,-1,5,0.2,5:43,833750,"$925,000 "
831. Libor Hájek,Libor.Hájek,21,LD,Left,28,0,5,5,0.18,-4,23,0,15:59,833333,"$925,000 "
832. Boris Katchouk,Boris.Katchouk,21,LW,Left,0,0,0,0,0,0,0,0,,833333,"$925,000 "
833. Taylor Raddysh,Taylor.Raddysh,21,RW,Right,0,0,0,0,0,0,0,0,,833333,"$925,000 "
834. Mitchell Stephens,Mitchell.Stephens,22,C,Right,38,3,3,6,0.16,-9,43,0.07,10:47,833333,"$832,500 "
835. Jérémy Roy,Jérémy.Roy,22,RD,Right,0,0,0,0,0,0,0,0,,827500,"$832,500 "
836. Tim Söderlund,Tim.Söderlund,21,"C, LW",Left,0,0,0,0,0,0,0,0,,825833,"$792,500 "
837. Aliaksei Protas,Aliaksei.Protas,18,"C, RW",Left,0,0,0,0,0,0,0,0,,825833,$0 
839. Mikael Hakkarainen,Mikael.Hakkarainen,21,C,Left,0,0,0,0,0,0,0,0,,825833,"$792,500 "
840. Petrus Palmu,Petrus.Palmu,21,"LW, RW",Left,0,0,0,0,0,0,0,0,,825833,"$842,500 "
842. Connor Dewar,Connor.Dewar,20,LW,Left,0,0,0,0,0,0,0,0,,825833,"$792,500 "
843. Matthew Robertson,Matthew.Robertson,18,LD,Left,0,0,0,0,0,0,0,0,,825833,$0 
844. Dmitri Samorukov,Dmitri.Samorukov,20,LD,Left,0,0,0,0,0,0,0,0,,825000,"$842,500 "
845. Paul LaDue,Paul.LaDue,26,RD,Right,2,0,1,1,0.5,0,2,0,12:48,825000,"$850,000 "
846. Alex Biega,Alex.Biega,31,RD,Right,49,0,3,3,0.06,-9,55,0,16:25,825000,"$700,000 "
847. Mitch Eliot,Mitch.Eliot,21,RD,Right,0,0,0,0,0,0,0,0,,822500,"$842,500 "
848. Christian Fischer,Christian.Fischer,22,"RW, LW",Right,56,6,3,9,0.16,2,83,0.07,11:01,821666,"$832,500 "
